ID,x1_,x2_,y1_,y2_,sl_,ta_,species,lat,long,sex,migrant,time_diff,date,timestamp_hour,burst_,t1_,t2_,dt_,nsd_,case_,step_id_,cos_ta_,log_sl_,sl_dist_shape,sl_dist_scale,ta_dist_kappa,ta_dist_mu
SW40,705336.1,708219.4573379159,9803621.0,9803739.223869655,2885.780036917163,1.2198037969454785,WB,-1.7784768527548651,34.84662251750862,F,migrant,0.0008333333333333334,2016-09-27,2016-09-27T05:00:00Z,21,2016-09-27T04:30:00Z,2016-09-28T04:30:00Z,86400,2366207888.69,False,505,0.3438299938626427,7.967550519144711,1.3872470689211824,3935.117000327814,0.8000184721135702,0
SW40,705336.1,705675.9467891009,9803621.0,9804219.19975787,687.9962139275365,2.2329756208668057,WB,-1.7784768527548651,34.84662251750862,F,migrant,0.0008333333333333334,2016-09-27,2016-09-27T05:00:00Z,21,2016-09-27T04:30:00Z,2016-09-28T04:30:00Z,86400,2366207888.69,False,505,-0.6148370200533311,6.5337833349059,1.3872470689211824,3935.117000327814,0.8000184721135702,0
SW40,704975.6,707810.6,9804224.0,9801787.0,3738.4748227051095,-2.819677028889871,WB,-1.773027461997966,34.843377533462444,F,migrant,0.0008333333333333334,2016-09-28,2016-09-28T05:00:00Z,21,2016-09-28T04:30:00Z,2016-09-29T04:31:00Z,86460,2138555623.69,True,506,-0.9486310853125504,8.22643300581922,1.3872470689211824,3935.117000327814,0.8000184721135702,0
SW40,704975.6,699634.8378978925,9804224.0,9801826.44214989,5854.231245511824,1.4539163193851623,WB,-1.773027461997966,34.843377533462444,F,migrant,0.0008333333333333334,2016-09-28,2016-09-28T05:00:00Z,21,2016-09-28T04:30:00Z,2016-09-29T04:31:00Z,86460,2138555623.69,False,506,0.1166140740669362,8.674919968608954,1.3872470689211824,3935.117000327814,0.8000184721135702,0
SW40,704975.6,705068.7819537343,9804224.0,9805045.25220039,826.5216592114847,-0.651812864855795,WB,-1.773027461997966,34.843377533462444,F,migrant,0.0008333333333333334,2016-09-28,2016-09-28T05:00:00Z,21,2016-09-28T04:30:00Z,2016-09-29T04:31:00Z,86460,2138555623.69,False,506,0.7949853698278573,6.717226122860219,1.3872470689211824,3935.117000327814,0.8000184721135702,0
SW40,704975.6,705174.6527648492,9804224.0,9803928.724613292,356.10329567408667,-3.0872765584203083,WB,-1.773027461997966,34.843377533462444,F,migrant,0.0008333333333333334,2016-09-28,2016-09-28T05:00:00Z,21,2016-09-28T04:30:00Z,2016-09-29T04:31:00Z,86460,2138555623.69,False,506,-0.998525243529832,5.875220845152691,1.3872470689211824,3935.117000327814,0.8000184721135702,0
SW40,704975.6,704120.2325749662,9804224.0,9807480.29383004,3366.7644615227427,-0.2819548662391782,WB,-1.773027461997966,34.843377533462444,F,migrant,0.0008333333333333334,2016-09-28,2016-09-28T05:00:00Z,21,2016-09-28T04:30:00Z,2016-09-29T04:31:00Z,86460,2138555623.69,False,506,0.9605133639904124,8.12170746171641,1.3872470689211824,3935.117000327814,0.8000184721135702,0
SW40,704975.6,702673.4944664516,9804224.0,9806621.539359769,3323.8358667717125,0.2262615690075762,WB,-1.773027461997966,34.843377533462444,F,migrant,0.0008333333333333334,2016-09-28,2016-09-28T05:00:00Z,21,2016-09-28T04:30:00Z,2016-09-29T04:31:00Z,86460,2138555623.69,False,506,0.9745118673519678,8.10887477652867,1.3872470689211824,3935.117000327814,0.8000184721135702,0
SW40,704975.6,701861.3574631959,9804224.0,9819312.084554303,15406.128718659904,-0.3352870833023689,WB,-1.773027461997966,34.843377533462444,F,migrant,0.0008333333333333334,2016-09-28,2016-09-28T05:00:00Z,21,2016-09-28T04:30:00Z,2016-09-29T04:31:00Z,86460,2138555623.69,False,506,0.9443158865772868,9.642520677977313,1.3872470689211824,3935.117000327814,0.8000184721135702,0
SW40,704975.6,704911.6544865533,9804224.0,9804253.978664303,70.62399736266981,0.593573075653584,WB,-1.773027461997966,34.843377533462444,F,migrant,0.0008333333333333334,2016-09-28,2016-09-28T05:00:00Z,21,2016-09-28T04:30:00Z,2016-09-29T04:31:00Z,86460,2138555623.69,False,506,0.828947459054492,4.257369992731068,1.3872470689211824,3935.117000327814,0.8000184721135702,0
SW40,704975.6,705741.5602593828,9804224.0,9807479.624586072,3344.5158938765344,-0.7699033500594421,WB,-1.773027461997966,34.843377533462444,F,migrant,0.0008333333333333334,2016-09-28,2016-09-28T05:00:00Z,21,2016-09-28T04:30:00Z,2016-09-29T04:31:00Z,86460,2138555623.69,False,506,0.7179779476871947,8.115077236790118,1.3872470689211824,3935.117000327814,0.8000184721135702,0
SW40,704975.6,701958.162381281,9804224.0,9807892.413653914,4749.96721242114,0.1495051114679708,WB,-1.773027461997966,34.843377533462444,F,migrant,0.0008333333333333334,2016-09-28,2016-09-28T05:00:00Z,21,2016-09-28T04:30:00Z,2016-09-29T04:31:00Z,86460,2138555623.69,False,506,0.9888449120687692,8.465892994356683,1.3872470689211824,3935.117000327814,0.8000184721135702,0
